e_c,u_out,k
-0.001,-0.001,1
-1.074,-1.088,1.013
-2.03,-2.04,1.005
-2.96,-2.96,1
-4.09,-4.08,0.998
-5.02,-5,0.996
-6.05,-6.02,0.995
-7.06,-7.03,0.996
-7.99,-7.95,0.995
-9.04,-8.99,0.994
-10.09,-10.03,0.994
-11.07,-11,0.994
-12.05,-11.97,0.993
-13.07,-13,0.995
-14.27,-13.27,0.929
