e_c,u_out,k
4.17,2.81,0.673860911
5.21,3.53,0.677543186
6.03,4.1,0.679933665
7.08,4.82,0.68079096
8,5.59,0.69875
10.18,7.03,0.690569745
12.9,6.13,0.475193798
