e_c,u_out,k
1.97,1.97,1
2.48,2.47,0.995967742
3.01,3.01,1
3.51,3.51,1
4.01,4.02,1.002493766
4.5,4.51,1.002222222
5,5.01,1.002
5.5,5.5,1
6.01,6.02,1.001663894
6.51,6.52,1.001536098
7.01,7.02,1.001426534
7.53,7.54,1.001328021
8.01,8.02,1.001248439
8.51,8.53,1.002350176
9.01,9.02,1.001109878
9.5,9.51,1.001052632
9.8,9.81,1.001020408
10.18,10.13,0.995088409
10.53,10.36,0.983855651
11.04,10.66,0.96557971
11.23,10.76,0.958147818
