e_c,u_out,k
1.04,1.03,0.99
2.05,2.04,0.99
3.05,3.02,0.99
4.05,4.02,0.99
4.99,4.96,0.99
6.15,6.1,0.99
7.05,6.99,0.99
8.08,8.01,0.99
9.03,8.95,0.99
10.06,9.82,0.98
10.95,10.31,0.94
