e_c,u_out,k
0.152,0.125,0.822
1.095,1.062,0.969
2.05,2.01,0.980
3.02,2.96,0.980
4.01,3.96,0.987
5.04,4.98,0.988
6.03,5.96,0.988
7.01,6.94,0.990
8.09,8.01,0.990
9.04,8.94,0.989
10.08,9.98,1.01
11.11,11,0.99
12,11.89,0.99
13.83,13.12,0.949
14.28,13.12,0.919
