i,u_n,u_p
10.0,8.43823764579,0.133333333333
30.0,8.31996085366,0.4
50.0,8.2541387401,0.666666666667
70.0,8.20393450805,0.933333333333
90.0,8.16136682811,1.2
110.0,8.12334319073,1.46666666667
130.0,8.08833686348,1.73333333333
150.0,8.05548099773,2.0
170.0,8.02423580591,2.26666666667
190.0,7.99424226077,2.53333333333
210.0,7.96524943077,2.8
230.0,7.93707501702,3.06666666667
250.0,7.90958240225,3.33333333333
270.0,7.88266655757,3.6
290.0,7.85624499709,3.86666666667
