i,u_n,u_p
10.0,8.42823764579,0.0666666666667
30.0,8.28996085366,0.2
50.0,8.2041387401,0.333333333333
70.0,8.13393450805,0.466666666667
90.0,8.07136682811,0.6
110.0,8.01334319073,0.733333333333
130.0,7.95833686348,0.866666666667
150.0,7.90548099773,1.0
170.0,7.85423580591,1.13333333333
190.0,7.80424226077,1.26666666667
210.0,7.75524943077,1.4
230.0,7.70707501702,1.53333333333
250.0,7.65958240225,1.66666666667
270.0,7.61266655757,1.8
290.0,7.56624499709,1.93333333333
