u,i
0.43,9.4798611774
0.46,13.2673276615
0.49,18.5553332923
0.52,25.9383698599
0.55,36.2464581573
0.58,50.6384611459
0.61,70.7323664414
0.64,98.7871848251
0.67,137.956914301
0.7,192.64512102
0.73,269.000000008
0.76,375.605571757
