u_i,i,u_p,u_n
0.249,16,0.2,9.28
0.601,41,0.432,9.08
0.899,59,0.608,9.01
1.203,80,0.768,8.84
1.51,100,0.984,8.79
1.832,122,1.13,8.5
2.15,143,1.29,8.4
2.41,160,1.49,8.24
2.7,180,1.62,8.15
3.03,202,1.8,8.09
3.25,217,1.92,7.99
3.68,245,2.12,7.81
4,266,2.28,7.7
4.35,290,2.48,7.49
