f,u_in,u_out,k,lg_k
32,5.02,0.0763,0.015,-36.364
64,5.01,0.1510,0.030,-30.417
128,5.00,0.2910,0.058,-24.702
256,5.01,0.5620,0.112,-19.002
512,5.01,0.9930,0.198,-14.058
1024,5.00,1.4300,0.286,-10.873
2048,5.01,1.5900,0.317,-9.969
4096,5.01,1.4400,0.287,-10.830
8192,4.99,1.0100,0.202,-13.876
16384,5.01,0.5690,0.114,-18.895
32768,5.01,0.2950,0.059,-24.600
65536,5.01,0.1510,0.030,-30.417
131072,5.01,0.0771,0.015,-36.256
200000,5.01,0.0522,0.010,-39.643
