u_in,u_out
1.21,0.001
2.01,0.21
4.07,2.08
6.11,4.09
8.08,5.95
10,6.03
12.17,6.04
14,6.03
16.19,6.03
18,6.03
20.04,6.03
22.01,6.03
24.01,6.03
26,6.03
28.06,6.03
30,6.03
