e_c,u_out,k
1.43,90.1,63.01
3.09,200,64.72
5.07,324,63.91
7.54,476,63.13
10.7,675,63.08
13.1,799,60.99
15.2,913,60.07
17.7,1053,59.49
20.7,1190,57.49
23.1,1310,56.71
25.3,1390,54.94
27.9,1490,53.41
30.1,1580,52.49
33.1,1690,51.06
35.9,1750,48.75
39.6,1830,46.21
43.1,1910,44.32
45.9,1980,43.14
