f,u_in,u_out,k,lg_k
90,0.127,0.068,0.535433071,-0.271294808
129,0.129,0.145,1.124031008,0.050778292
181,0.128,0.317,2.4765625,0.393849293
241,0.129,0.657,5.093023256,0.706975659
361,0.13,2.65,20.38461538,1.309302522
542,0.126,9.19,72.93650794,1.862944966
722,0.134,7.27,54.25373134,1.734429612
1084,0.128,9.02,70.46875,1.847996568
1445,0.129,1.83,14.18604651,1.151861379
