f,u_in,u_out,k,lg_k
29.9,0.379,0.121,0.319261214,-9.917076785
59.8,0.377,0.246,0.652519894,-3.708124861
119.5,0.38,0.511,1.344736842,2.57274607
239,0.379,1.21,3.192612137,10.08292321
478,0.373,9.29,24.90616622,27.92613764
956,0.372,1.28,3.440860215,10.7333406
1912,0.378,0.517,1.367724868,2.719974867
3824,0.373,0.244,0.654155496,-3.686380109
7648,0.373,0.12,0.321715818,-9.850551707
