f,u_in,u_out,k,lg_k
62.5,0.302,0.11,0.364238411,-8.772285146
125,0.303,0.225,0.742574257,-2.585202213
250,0.304,0.475,1.5625,3.87640052
500,0.305,1.19,3.901639344,11.82494244
1000,0.298,9.24,31.00671141,29.82911414
2000,0.294,1.15,3.911564626,11.8470102
4000,0.295,0.466,1.579661017,3.971278015
8000,0.294,0.22,0.74829932,-2.518492989
16000,0.3,0.111,0.37,-8.635965519
