u_in,u_out
1.09,0.70
2.98,1.90
4.97,3.17
6.99,4.35
9.04,5.00
11.05,5.23
13.03,5.33
15.00,5.40
16.96,5.45
19.02,5.50
21.00,5.53
23.00,5.56
24.60,5.58
